empname,skillname,proficiency
Alice Johnson,Data Analysis,5
Alice Johnson,Machine Learning,4
Alice Johnson,Statistical Analysis,3
Alice Johnson,Data Visualization,5
Alice Johnson,Deep Learning,4
Alice Johnson,Cloud Computing,4
Alice Johnson,DevOps Practices,5
Alice Johnson,Infrastructure as Code,3
Alice Johnson,Network Security,4
Alice Johnson,Containerization,3
Alice Johnson,HTML & CSS,2
Alice Johnson,JavaScript,1
Alice Johnson,React.js,2
Bob Smith,Data Analysis,4
Bob Smith,Machine Learning,5
Bob Smith,Statistical Analysis,4
Bob Smith,Data Visualization,3
Bob Smith,Data Mining,5
Bob Smith,Cloud Computing,5
Bob Smith,DevOps Practices,4
Bob Smith,Infrastructure as Code,3
Bob Smith,Network Security,2
Bob Smith,HTML & CSS,3
Bob Smith,JavaScript,2
Bob Smith,Node.js,1
Charlie Brown,Data Analysis,3
Charlie Brown,Machine Learning,3
Charlie Brown,Predictive Analytics,4
Charlie Brown,Data Visualization,5
Charlie Brown,Natural Language Processing,4
Charlie Brown,Cloud Computing,3
Charlie Brown,DevOps Practices,2
Charlie Brown,Infrastructure as Code,4
Charlie Brown,HTML & CSS,4
Charlie Brown,JavaScript,3
Charlie Brown,React.js,1
Diana Prince,Data Analysis,5
Diana Prince,Machine Learning,4
Diana Prince,Statistical Analysis,5
Diana Prince,Deep Learning,3
Diana Prince,Data Wrangling,4
Diana Prince,Cloud Computing,2
Diana Prince,Infrastructure as Code,3
Diana Prince,Network Security,2
Diana Prince,HTML & CSS,1
Diana Prince,JavaScript,1
Diana Prince,React.js,2
Diana Prince,Node.js,1
Evelyn Harper,Data Analysis,4
Evelyn Harper,Machine Learning,4
Evelyn Harper,Data Mining,5
Evelyn Harper,Data Visualization,5
Evelyn Harper,Time Series Analysis,3
Evelyn Harper,Cloud Computing,4
Evelyn Harper,DevOps Practices,3
Evelyn Harper,Containerization,5
Evelyn Harper,HTML & CSS,2
Evelyn Harper,JavaScript,2
George Taylor,Data Analysis,5
George Taylor,Machine Learning,5
George Taylor,Predictive Analytics,4
George Taylor,Deep Learning,3
George Taylor,Data Wrangling,5
George Taylor,Cloud Computing,3
George Taylor,DevOps Practices,4
George Taylor,Network Security,1
George Taylor,HTML & CSS,1
George Taylor,JavaScript,2
George Taylor,Node.js,1
Emily Clark,Data Analysis,4
Emily Clark,Machine Learning,3
Emily Clark,Data Visualization,5
Emily Clark,Natural Language Processing,4
Emily Clark,Time Series Analysis,3
Emily Clark,Cloud Computing,2
Emily Clark,Infrastructure as Code,1
Emily Clark,HTML & CSS,2
Emily Clark,React.js,1
Frank Miller,Data Analysis,3
Frank Miller,Machine Learning,4
Frank Miller,Data Visualization,3
Frank Miller,Data Ethics and Privacy,5
Frank Miller,Data Mining,4
Frank Miller,Cloud Computing,3
Frank Miller,DevOps Practices,1
Frank Miller,Containerization,2
Frank Miller,HTML & CSS,1
Frank Miller,JavaScript,1
Frank Miller,Node.js,2
