empID,username,email,password,role,created_at
1a2b3c4d-5e6f-7g8h-9i0j-1k2l3m4n5o6p,john.doe,john.doe@example.com,$2a$12$Z0AqDR/3Kw3sMgta01u9iu1nS8qQ8HnT.e.htEVaxpk/AzjKQNxb2,USER,1/15/2023 8:00
1a2b3c4d-5e6f-7g8h-9i0j-1k2l3m4n5o6q,john.doe.sr,john.doe.sr@example.com,$2a$12$Z0AqDR/3Kw3sMgta01u9iu1nS8qQ8HnT.e.htEVaxpk/AzjKQNxb3,USER,1/15/2024 8:00
2a3b4c5d-6e7f-8g9h-0i1j-2k3l4m5n6o7r,jane.smith,jane.smith@domain.com,$2a$12$Z0AqDR/3Kw3sMgta01u9iu1nS8qQ8HnT.e.htEVaxpk/AzjKQNxb4,ADMIN,6/1/2023 9:00
3b4c5d6e-7f8g-9h0i-1j2k-3l4m5n6o7p8t,michael.brown,michael.brown@company.com,$2a$12$Z0AqDR/3Kw3sMgta01u9iu1nS8qQ8HnT.e.htEVaxpk/AzjKQNxb5,USER,5/1/2018 10:00
3b4c5d6e-7f8g-9h0i-1j2k-3l4m5n6o7p8u,michael.brown.sr,michael.brown.sr@domain.com,$2a$12$Z0AqDR/3Kw3sMgta01u9iu1nS8qQ8HnT.e.htEVaxpk/AzjKQNxb6,USER,5/1/2020 10:00
5d6e7f8g-9h0i-1j2k-3l4m-5n6o7p8q9r0w,bob.williams,bob.williams@example.com,$2a$12$Z0AqDR/3Kw3sMgta01u9iu1nS8qQ8HnT.e.htEVaxpk/AzjKQNxb7,USER,4/20/2016 14:00
7f8g9h0i-1j2k-3l4m-5n6o-7p8q9r0s1t2y,christopher.wilson,christopher.wilson@company.com,$2a$12$Z0AqDR/3Kw3sMgta01u9iu1nS8qQ8HnT.e.htEVaxpk/AzjKQNxb8,USER,8/15/2023 16:00
8g9h0i1j-2k3l-4m5n-6o7p-8q9r0s1t2u3v,david.lee,david.lee@domain.com,$2a$12$Z0AqDR/3Kw3sMgta01u9iu1nS8qQ8HnT.e.htEVaxpk/AzjKQNxb9,USER,3/20/2023 9:30
9h0i1j2k-3l4m-5n6o-7p8q-9r0s1t2u3v4w,sarah.connor,sarah.connor@example.com,$2a$12$Z0AqDR/3Kw3sMgta01u9iu1nS8qQ8HnT.e.htEVaxpk/AzjKQNxb10,USER,11/1/2022 11:00
0i1j2k3l-4m5n-6o7p-8q9r-0s1t2u3v4w5x,emily.carter,emily.carter@company.com,$2a$12$Z0AqDR/3Kw3sMgta01u9iu1nS8qQ8HnT.e.htEVaxpk/AzjKQNxb11,USER,5/15/2021 12:00
1j2k3l4m-5n6o-7p8q-9r0s-1t2u3v4w5x6y,liam.scott,liam.scott@domain.com,$2a$12$Z0AqDR/3Kw3sMgta01u9iu1nS8qQ8HnT.e.htEVaxpk/AzjKQNxb12,USER,4/20/2017 10:30
2k3l4m5n-6o7p-8q9r-0s1t-2u3v4w5x6y7z,olivia.brown,olivia.brown@example.com,$2a$12$Z0AqDR/3Kw3sMgta01u9iu1nS8qQ8HnT.e.htEVaxpk/AzjKQNxb13,ADMIN,8/15/2015 14:00
