empID,username,email,password,role,created_at
1,jdoe,jdoe@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,1/1/2024
2,asmith,asmith@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,1/2/2024
3,bwilliams,bwilliams@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,1/3/2024
4,cjones,cjones@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,1/4/2024
5,djohnson,djohnson@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,admin,1/5/2024
6,eclark,eclark@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,1/6/2024
7,fthompson,fthompson@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,1/7/2024
8,gmartin,gmartin@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,1/8/2024
9,hlee,hlee@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,1/9/2024
10,ijackson,ijackson@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,admin,1/10/2024
11,jwhite,jwhite@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,1/11/2024
12,kmoore,kmoore@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,1/12/2024
13,lroberts,lroberts@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,1/13/2024
14,mmartinez,mmartinez@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,1/14/2024
15,nnelson,nnelson@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,1/15/2024
16,operez,operez@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,1/16/2024
17,qkim,qkim@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,1/17/2024
18,rhill,rhill@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,1/18/2024
19,ssanders,ssanders@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,1/19/2024
20,ttorres,ttorres@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,1/20/2024
21,uwright,uwright@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,1/21/2024
22,vcarter,vcarter@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,1/22/2024
23,wlee,wlee@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,1/23/2024
24,xking,xking@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,1/24/2024
25,ygreen,ygreen@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,admin,1/25/2024
26,zyoung,zyoung@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,1/26/2024
27,aaustin,aaustin@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,1/27/2024
28,bbell,bbell@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,1/28/2024
29,ccarter,ccarter@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,1/29/2024
30,ddavis,ddavis@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,1/30/2024
31,eevans,eevans@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,2/1/2024
32,ffoster,ffoster@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,2/2/2024
33,ggonzalez,ggonzalez@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,2/3/2024
34,hhall,hhall@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,2/4/2024
35,iim, iim@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,2/5/2024
36,jjames,jjames@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,2/6/2024
37,kklein,kklein@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,2/7/2024
38,llong,llong@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,2/8/2024
39,mmoore,mmoore@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,2/9/2024
40,nmorris,nmorris@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,2/10/2024
41,obrown,obrown@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,2/11/2024
42,ppatel,ppatel@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,2/12/2024
43,qthompson,qthompson@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,2/13/2024
44,rrichards,rrichards@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,2/14/2024
45,slee,slee@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,2/15/2024
46,ttaylor,ttaylor@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,2/16/2024
47,uallen,uallen@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,2/17/2024
48,vharris,vharris@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,2/18/2024
49,wpeterson,wpeterson@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,2/19/2024
50,xperkins,xperkins@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,2/20/2024
51,yjames,yjames@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,2/21/2024
52,zkhan,zkhan@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,2/22/2024
53,alewis,alewis@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,2/23/2024
54,bmorris,bmorris@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,2/24/2024
55,crodriguez,rodriguez@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,2/25/2024
56,droberts,roberts@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,2/26/2024
57,ehall,ehall@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,2/27/2024
58,fbenitez,fbenitez@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,2/28/2024
59,gcruz,gcruz@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,2/29/2024
60,hwang,hwang@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,3/1/2024
61,imartinez,imartinez@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,3/2/2024
62,jlopez,jlopez@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,3/3/2024
63,kgarcia,kgarcia@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,3/4/2024
64,lrodriguez,lrodriguez@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,3/5/2024
65,mhernandez,mhernandez@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,3/6/2024
66,nlopez,nlopez@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,3/7/2024
68,qchen,qchen@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,3/9/2024
69,rzhang,rzhang@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,3/10/2024
70,ssun,ssun@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,3/11/2024
71,tjohnson,tjohnson@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,3/12/2024
72,ulee,ulee@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,3/13/2024
