empID,username,email,password,role,created_at
1,jdoe,jdoe@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,01-01-2024 10:00
2,asmith,asmith@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,02-01-2024 11:00
3,bwilliams,bwilliams@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,03-01-2024 12:00
4,cjones,cjones@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,04-01-2024 13:00
5,djohnson,djohnson@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,admin,05-01-2024 14:00
6,eclark,eclark@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,06-01-2024 15:00
7,fthompson,fthompson@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,07-01-2024 16:00
8,gmartin,gmartin@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,08-01-2024 17:00
9,hlee,hlee@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,09-01-2024 18:00
10,ijackson,ijackson@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,admin,10-01-2024 19:00
11,jwhite,jwhite@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,11-01-2024 20:00
12,kmoore,kmoore@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,12-01-2024 21:00
13,lroberts,lroberts@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,13-01-2024 22:00
14,mmartinez,mmartinez@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,14-01-2024 23:00
15,nnelson,nnelson@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,15-01-2024 08:00
16,operez,operez@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,16-01-2024 09:00
17,qkim,qkim@example.com,$2b$12$2mfK0OCv5eTHI8EnN92equ61tRhX0ogY.E0TuC14VD.ilfg6DXwXa,user,17-01-2024 10:00
